State,Year,Question,Weighted_Data_Value,Weighted_Low_Confidence_Limit,Weighted_High_Confidence_Limit,Total_Sample_Size
Alabama,2015,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.23708446018716,23.78617380274274,28.868618816264988,41783.0
Alabama,2015,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.16674272409779,22.69390221187427,27.882076833527357,42950.0
Alabama,2015,Percent of adults who engage in no leisure-time physical activity,32.20129164460203,29.591939308820482,34.948281260792484,43433.0
Alabama,2016,Percent of adults aged 18 years and older who have an overweight classification,34.00637272494232,31.284493719559084,36.847749295052544,39010.0
Alabama,2016,Percent of adults aged 18 years and older who have obesity,35.705029479620606,32.96029992309664,38.571804665470395,39010.0
Alabama,2016,Percent of adults who engage in no leisure-time physical activity,29.71513581897169,27.263020957655034,32.33301904807371,41894.0
Alabama,2017,Percent of adults aged 18 years and older who have an overweight classification,33.975256791911384,31.158698742188964,36.928597098184355,37287.0
Alabama,2017,Percent of adults aged 18 years and older who have obesity,36.31230187464799,33.48225923244026,39.28072250382171,37287.0
Alabama,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.84293354350213,39.79104906127734,45.96252146254961,35527.0
Alabama,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.78457232614594,13.595113522775954,18.327508210766815,35015.0
Alabama,2017,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.461977337110483,23.83779320113315,29.30901699716714,35300.0
Alabama,2017,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.34592619054162,22.688346019620234,28.222719903272786,36391.0
Alabama,2017,Percent of adults who engage in no leisure-time physical activity,32.51559405940594,29.82131672406371,35.36735094705123,37168.0
Alabama,2017,Percent of adults who report consuming fruit less than one time daily,44.60220821050333,41.55152309204062,47.668539141827715,36636.0
Alabama,2017,Percent of adults who report consuming vegetables less than one time daily,19.23657982261641,16.94194844789357,21.811202882483368,36080.0
Alabama,2018,Percent of adults aged 18 years and older who have an overweight classification,33.767111607507694,31.002939333678395,36.6678307771936,36709.0
Alabama,2018,Percent of adults aged 18 years and older who have obesity,36.29373450652429,33.4630145196001,39.25856329510474,36709.0
Alabama,2018,Percent of adults who engage in no leisure-time physical activity,30.882695736335386,28.275184656920178,33.63992409963833,39262.0
Alabama,2019,Percent of adults aged 18 years and older who have an overweight classification,34.48851314945478,31.846886465683127,37.26453880692752,38975.0
Alabama,2019,Percent of adults aged 18 years and older who have obesity,35.99406799230275,33.30653495830661,38.81283130211674,38975.0
Alabama,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.09905118736354,43.17803983934877,49.05271031564194,37099.0
Alabama,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.5509030573387,15.408840169731258,20.02208138396257,36764.0
Alabama,2019,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.948788640496314,25.423256498021182,30.653021713552256,37396.0
Alabama,2019,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.847142151638813,26.24577235983677,31.59019572167494,38473.0
Alabama,2019,Percent of adults who engage in no leisure-time physical activity,31.66202442931518,29.135162194633562,34.33010863035643,39952.0
Alabama,2019,Percent of adults who report consuming fruit less than one time daily,45.915444097805505,43.018811828387065,48.8715942724582,37503.0
Alabama,2019,Percent of adults who report consuming vegetables less than one time daily,22.160833813008797,19.76663651563742,24.777641641312393,36483.0
Alabama,2020,Percent of adults aged 18 years and older who have an overweight classification,33.77876463463868,30.780685641232672,36.961122325393625,29724.0
Alabama,2020,Percent of adults aged 18 years and older who have obesity,39.066488359574755,35.921982236576504,42.306694926658594,29724.0
Alabama,2020,Percent of adults who engage in no leisure-time physical activity,28.783765887337207,26.08954966263926,31.67646634238192,31865.0
Alabama,2021,Percent of adults aged 18 years and older who have an overweight classification,32.15438797253571,29.022425222950044,35.5180411964328,25342.0
Alabama,2021,Percent of adults aged 18 years and older who have obesity,39.6637479283403,36.26057532949254,43.14663010022887,25342.0
Alabama,2021,Percent of adults who engage in no leisure-time physical activity,31.790519104663517,28.85129501410411,34.92762208301278,27297.0
Alabama,2021,Percent of adults who report consuming fruit less than one time daily,45.65511637239165,42.13100722311396,49.20643659711076,24920.0
Alabama,2021,Percent of adults who report consuming vegetables less than one time daily,20.277024880889357,17.478877713075704,23.480913792401353,24557.0
Alaska,2011,Percent of adults aged 18 years and older who have an overweight classification,38.8209602582207,34.61851422231188,43.250736332459155,19828.0
Alaska,2011,Percent of adults aged 18 years and older who have obesity,27.483124275855122,23.777940657901365,31.59611606468188,19851.0
Alaska,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.34982208267923,53.89353741496599,62.68942961800105,19110.0
Alaska,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.905387759435214,21.24495992356282,29.08508413397739,18839.0
Alaska,2011,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.17376556235493,33.99632833931209,42.58395758598861,18956.0
Alaska,2011,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.413545227284324,29.39728585276261,37.78465384419163,19601.0
Alaska,2011,Percent of adults who engage in no leisure-time physical activity,21.98375991167319,18.75935461206464,25.676151761517616,19926.0
Alaska,2012,Percent of adults aged 18 years and older who have an overweight classification,39.04830757910228,35.18838198021421,43.08191889461206,24462.0
Alaska,2012,Percent of adults aged 18 years and older who have obesity,26.13013245033112,22.951655629139072,29.61691603303083,24462.0
Alaska,2012,Percent of adults who engage in no leisure-time physical activity,18.62249362294195,15.781819587230427,21.880053335394603,25874.0
Alaska,2013,Percent of adults aged 18 years and older who have an overweight classification,37.739586348746855,34.12545135979279,41.5236916279424,26254.0
Alaska,2013,Percent of adults aged 18 years and older who have obesity,28.37725299002057,25.014782509331912,32.04411137350499,26254.0
Alaska,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.656776497321864,51.6620556727804,59.596660444733004,24644.0
Alaska,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.944597257574515,21.637708350439283,28.679292224320555,24358.0
Alaska,2013,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.66449849016567,32.99592752795234,40.56727332081939,24506.0
Alaska,2013,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,35.519448978779316,31.78239439423498,39.456415973245214,25117.0
Alaska,2013,Percent of adults who engage in no leisure-time physical activity,22.243192414684795,19.152721075108722,25.76887513223367,25523.0
Alaska,2014,Percent of adults aged 18 years and older who have an overweight classification,35.40339408667477,31.887019036046983,39.11670716889429,24690.0
Alaska,2014,Percent of adults aged 18 years and older who have obesity,29.739441069258806,26.422239773187524,33.32861887403808,24690.0
Alaska,2014,Percent of adults who engage in no leisure-time physical activity,18.91574990410433,16.123122362869196,22.08438434982739,26070.0
Alaska,2015,Percent of adults aged 18 years and older who have an overweight classification,37.31510538641686,32.760045862607335,42.16800351288056,20496.0
Alaska,2015,Percent of adults aged 18 years and older who have obesity,30.05775273224044,25.921496877439502,34.63117193598751,20496.0
Alaska,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.437415315130366,53.41472490248409,63.313400739067944,19484.0
Alaska,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.817504694345917,19.890287919883164,28.393620905487175,19172.0
Alaska,2015,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.103799368497334,32.52908018013354,41.96671670376313,19319.0
Alaska,2015,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.11383663615331,28.601926365556785,38.05225329443717,19882.0
Alaska,2015,Percent of adults who engage in no leisure-time physical activity,22.1513256554766,18.248610634648372,26.694418034795397,20405.0
Alaska,2016,Percent of adults aged 18 years and older who have an overweight classification,35.67111944427368,30.844691707137148,40.858123808938345,16267.0
Alaska,2016,Percent of adults aged 18 years and older who have obesity,31.37983647876068,26.531382553636195,36.76491055511158,16267.0
Alaska,2016,Percent of adults who engage in no leisure-time physical activity,18.941002027222705,14.927222704894294,23.8479640891978,17265.0
Alaska,2017,Percent of adults aged 18 years and older who have an overweight classification,32.88817383572302,28.2836612204068,37.9554018006002,17994.0
Alaska,2017,Percent of adults aged 18 years and older who have obesity,34.31802267422474,29.444459264199175,39.58630098921863,17994.0
Alaska,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.579900234741785,53.13147887323944,63.83842136150234,17040.0
Alaska,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.86255377629063,19.414800430210324,29.200740917782024,16736.0
Alaska,2017,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.923301429753046,32.842449485997875,43.3642561739336,16926.0
Alaska,2017,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.80657879590192,28.82509496949465,39.27893403936917,17374.0
Alaska,2017,Percent of adults who engage in no leisure-time physical activity,20.830615687377,17.021720551026146,25.352369974697776,17785.0
Alaska,2017,Percent of adults who report consuming fruit less than one time daily,36.58985144288235,31.62806648073311,41.83518128521828,17569.0
Alaska,2017,Percent of adults who report consuming vegetables less than one time daily,18.32975369458128,14.311648797450015,23.216261953057085,17255.0
Alaska,2018,Percent of adults aged 18 years and older who have an overweight classification,35.00277526200026,30.58532798550912,39.77998447405874,15458.0
Alaska,2018,Percent of adults aged 18 years and older who have obesity,29.309464355026524,24.966321645749776,34.15644973476517,15458.0
Alaska,2018,Percent of adults who engage in no leisure-time physical activity,19.674486928903004,16.100879550451992,23.90710969948693,16372.0
Alaska,2019,Percent of adults aged 18 years and older who have an overweight classification,36.36733659019232,31.598757034197018,41.475715787520876,16171.0
Alaska,2019,Percent of adults aged 18 years and older who have obesity,30.341494032527365,25.780644363366523,35.40829880650547,16171.0
Alaska,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.24452628905258,52.94645034290068,63.398622047244096,15748.0
Alaska,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.32506801399145,22.293697370125663,30.972865656173077,15438.0
Alaska,2019,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),40.00725806451613,35.2233680467361,45.0748602997206,15748.0
Alaska,2019,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,38.02893981018981,33.279620379620376,43.15089285714286,16016.0
Alaska,2019,Percent of adults who engage in no leisure-time physical activity,21.279129965845765,17.27345556953682,25.962436335310684,16689.0
Alaska,2019,Percent of adults who report consuming fruit less than one time daily,42.05735388157053,36.8744468602123,47.404789615040286,15638.0
Alaska,2019,Percent of adults who report consuming vegetables less than one time daily,18.318971840209564,14.45649639816634,23.03275703994761,15270.0
Alaska,2020,Percent of adults aged 18 years and older who have an overweight classification,35.144194964428074,30.80131691810888,39.796563903325094,19819.0
Alaska,2020,Percent of adults aged 18 years and older who have obesity,31.702941621676167,27.42460265401887,36.31175639537817,19819.0
Alaska,2020,Percent of adults who engage in no leisure-time physical activity,21.345901789811837,17.839752179899037,25.38308857273979,21790.0
Alaska,2021,Percent of adults aged 18 years and older who have an overweight classification,34.3571285207734,30.854251689302203,38.11277848397671,29894.0
Alaska,2021,Percent of adults aged 18 years and older who have obesity,33.41373185254566,29.949769184451732,37.101956914430986,29894.0
Alaska,2021,Percent of adults who engage in no leisure-time physical activity,20.179568508473537,17.44097330759094,23.27760105421225,32631.0
Alaska,2021,Percent of adults who report consuming fruit less than one time daily,41.803894798849576,38.01342042343809,45.72802591912402,28859.0
Alaska,2021,Percent of adults who report consuming vegetables less than one time daily,18.337547467220748,15.466765780611876,21.730540230708602,27914.0
Arizona,2011,Percent of adults aged 18 years and older who have an overweight classification,37.747390683212416,33.765094260343425,41.91877643631474,35699.0
Arizona,2011,Percent of adults aged 18 years and older who have obesity,24.79000353712622,21.286784752265124,28.722224036133102,36753.0
Arizona,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.54554839429704,49.3677548059485,57.660846516559246,35841.0
Arizona,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.000082020533416,20.670317051786068,27.793415730972654,35357.0
Arizona,2011,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.102346139814216,30.398380714506217,38.06911570734993,35633.0
Arizona,2011,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.919975806895035,28.242626601418596,35.9033265519327,36374.0
Arizona,2011,Percent of adults who engage in no leisure-time physical activity,23.955129486106237,20.521873565391157,27.834708757527476,37031.0
Arizona,2012,Percent of adults aged 18 years and older who have an overweight classification,35.89018492176387,32.64485377438098,39.32278853340405,41477.0
Arizona,2012,Percent of adults aged 18 years and older who have obesity,25.789606287822167,22.85660486534706,29.015068592231845,41477.0
Arizona,2012,Percent of adults who engage in no leisure-time physical activity,22.438979225206133,19.737852964208393,25.458782071951724,43418.0
Arizona,2013,Percent of adults aged 18 years and older who have an overweight classification,35.40203062583222,31.065096537949398,40.08411701065246,24032.0
Arizona,2013,Percent of adults aged 18 years and older who have obesity,26.35054510652463,22.24141145139814,30.920156458055928,24032.0
Arizona,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),52.50237851776108,47.539185524385374,57.500978082069985,22493.0
Arizona,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.75616265440447,18.00193850870075,26.15740690650077,22182.0
Arizona,2013,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.66176220901658,30.195759796255754,39.55646753943076,22381.0
Arizona,2013,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.413185126721036,26.118236429009908,35.16543891958256,22806.0
Arizona,2013,Percent of adults who engage in no leisure-time physical activity,25.003157759065132,20.95023629489603,29.633278913902732,23276.0
Arizona,2014,Percent of adults aged 18 years and older who have an overweight classification,35.51203079302927,33.25237232011215,37.82284581732046,82746.0
Arizona,2014,Percent of adults aged 18 years and older who have obesity,28.45623957653542,26.358234839146302,30.670892852826725,82746.0
Arizona,2014,Percent of adults who engage in no leisure-time physical activity,21.104718250155432,19.304236703781154,23.07616345447352,88465.0
Arizona,2015,Percent of adults aged 18 years and older who have an overweight classification,37.04812552653749,34.195310306093795,40.003835533089955,42732.0
Arizona,2015,Percent of adults aged 18 years and older who have obesity,27.799454741177573,25.187501170083312,30.60262332678087,42732.0
Arizona,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),54.799457987933486,51.69723107862853,57.9051552459901,40774.0
Arizona,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.866622737219018,19.39950765864333,24.58704993037597,40216.0
Arizona,2015,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.604224726860195,31.82171800626434,37.56757589957333,40547.0
Arizona,2015,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.528742229737773,27.803496320289618,33.45460737847429,41987.0
Arizona,2015,Percent of adults who engage in no leisure-time physical activity,24.281673679289387,21.772837774661053,27.046161757830763,42780.0
Arizona,2016,Percent of adults aged 18 years and older who have an overweight classification,34.812221925757925,32.17458226328253,37.557064002935,59966.0
Arizona,2016,Percent of adults aged 18 years and older who have obesity,28.59691658606544,26.068163626054766,31.30808291365107,59966.0
Arizona,2016,Percent of adults who engage in no leisure-time physical activity,23.1504952013001,20.935519578082364,25.59207524606752,65226.0
Arizona,2017,Percent of adults aged 18 years and older who have an overweight classification,35.60182353219249,33.78263921716934,37.46480925593268,84616.0
Arizona,2017,Percent of adults aged 18 years and older who have obesity,29.08085823012197,27.35252198165832,30.87229483785572,84616.0
Arizona,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.45559831659446,51.46830703529441,55.445646857270546,80551.0
Arizona,2017,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.275718495755772,20.664919019672052,23.998586937356738,79402.0
Arizona,2017,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.80668847056474,31.9918385180007,35.6918435112598,80108.0
Arizona,2017,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.391481981817517,29.57642240802268,33.23566151861453,82167.0
Arizona,2017,Percent of adults who engage in no leisure-time physical activity,24.98338164942796,23.317118213378187,26.709615499325956,83823.0
Arizona,2017,Percent of adults who report consuming fruit less than one time daily,36.69361394198879,34.80071519025508,38.61451848278357,82915.0
Arizona,2017,Percent of adults who report consuming vegetables less than one time daily,19.88792144228982,18.28124899324701,21.626329223716002,80705.0
Arizona,2018,Percent of adults aged 18 years and older who have an overweight classification,35.292000359534406,32.11348703429059,38.66236124219136,44502.0
Arizona,2018,Percent of adults aged 18 years and older who have obesity,29.496033886117477,26.444112624151728,32.76752280796369,44502.0
Arizona,2018,Percent of adults who engage in no leisure-time physical activity,22.328588623487665,19.69426608836408,25.26824247203603,48187.0
Arizona,2019,Percent of adults aged 18 years and older who have an overweight classification,34.52448374565528,31.391568186464937,37.81202821508894,48910.0
Arizona,2019,Percent of adults aged 18 years and older who have obesity,31.25250868942957,28.214647311388266,34.48608668983848,48910.0
Arizona,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.281519296217816,51.823874654851345,58.71200796249919,46719.0
Arizona,2019,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.729805780700417,22.904784479933586,28.850376859720797,45773.0
Arizona,2019,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),35.81609138900169,32.70438778345338,39.128699053196264,46789.0
Arizona,2019,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,37.5695091087825,34.343960594842194,40.9329694003472,47811.0
Arizona,2019,Percent of adults who engage in no leisure-time physical activity,24.172012208502064,21.410622593708233,27.203881984480038,50129.0
Arizona,2019,Percent of adults who report consuming fruit less than one time daily,38.32879765269358,35.027296066967274,41.776035037000284,46351.0
Arizona,2019,Percent of adults who report consuming vegetables less than one time daily,21.199457472088955,18.419080392772276,24.346278527552343,44606.0
Arizona,2020,Percent of adults aged 18 years and older who have an overweight classification,35.347568683326024,32.791237395879,37.99963283647523,54744.0
Arizona,2020,Percent of adults aged 18 years and older who have obesity,30.5522541283063,28.056824492181793,33.17894929124653,54744.0
Arizona,2020,Percent of adults who engage in no leisure-time physical activity,22.368340051898876,20.310492386532406,24.608822809394027,61273.0
Arizona,2021,Percent of adults aged 18 years and older who have an overweight classification,36.60526406806627,34.15019022584997,39.12918583336215,57826.0
Arizona,2021,Percent of adults aged 18 years and older who have obesity,31.106759934977347,28.763350396015632,33.527740116902436,57826.0
Arizona,2021,Percent of adults who engage in no leisure-time physical activity,22.415927530523824,20.436738873572274,24.567144545096497,63475.0
Arizona,2021,Percent of adults who report consuming fruit less than one time daily,41.20910559115246,38.65482138155007,43.801651891512336,56965.0
Arizona,2021,Percent of adults who report consuming vegetables less than one time daily,21.048985866868055,18.96033193080879,23.307460351710002,55614.0
Arkansas,2011,Percent of adults aged 18 years and older who have an overweight classification,34.1399289099526,30.488051688388623,38.038825533175356,27008.0
Arkansas,2011,Percent of adults aged 18 years and older who have obesity,30.94260306895914,27.427661305232025,34.75290072102052,27045.0
Arkansas,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.47901540154015,41.405512336947986,49.61097359735974,25452.0
Arkansas,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.125319876023205,13.150917905110068,19.73739569260113,25166.0
Arkansas,2011,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.839166897424743,24.254756912852564,31.786866569088964,25279.0
Arkansas,2011,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.883174687785566,20.44930322875419,27.79347014925373,26264.0
Arkansas,2011,Percent of adults who engage in no leisure-time physical activity,31.657521357871364,28.21552444394264,35.40185164276843,26571.0
Arkansas,2012,Percent of adults aged 18 years and older who have an overweight classification,34.26443139783487,31.14491465028676,37.56228323209014,29467.0
Arkansas,2012,Percent of adults aged 18 years and older who have obesity,34.25436590083822,31.06679336206604,37.61975430142192,29467.0
Arkansas,2012,Percent of adults who engage in no leisure-time physical activity,31.94170236240914,28.99939317237799,35.08133761682243,30816.0
Arkansas,2013,Percent of adults aged 18 years and older who have an overweight classification,35.64110096025607,32.37227594025074,39.06281008268873,29992.0
Arkansas,2013,Percent of adults aged 18 years and older who have obesity,34.21447385969592,30.91185982928781,37.71099293144839,29992.0
Arkansas,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.38185181194555,37.87816686420285,45.041392809682876,27843.0
